filename,caption_ru,caption_lt,split
img_000120.jpg,Модель машинки на радиоуправлении в разобранном состоянии на улице.,Išmontuotas radijo bangomis valdomas automobilio modelis lauke.,train
img_000121.jpg,Аниме игрушка в товарной упаковке.,Anime žaislas originalioje pakuotėje.,train
img_000122.jpg,Лимоны на дереве в лучах солнца.,Citrinmedis su vaisiais saulės šviesoje.,train
img_000123.jpg,Певец на сцене в свете софитов.,Dainininkas scenoje prožektorių šviesoje.,train
img_000124.jpg,"Официальная встреча за П-образным столом делегатов из разных стран.

",Oficialus susitikimas prie U formos stalo su delegatais iš įvairių šalių.,train
img_000125.jpg,"Старая машина на открытой парковке.

",Senas automobilis atviroje stovėjimo aikštelėje.,train
img_000126.jpg,Пожилой человек за трибуной на конференции делает доклад.,Pagyvenęs vyras skaito pranešimą už tribūnos konferencijoje.,train
img_000127.jpg,Здание аэропорта в США с припаркованными желтыми такси перед главных входом.,JAV oro uosto pastatas su geltonais taksi automobiliais prie pagrindinio įėjimo.,train
img_000128.jpg,Установщик городских видеокамер устанавливает одну из них на столбе стоя на лестнице.,Vaizdo kamerų montuotojas ant kopėčių tvirtina kamerą prie stulpo.,train
img_000129.jpg,Стол с ватманом с набросками разных схем карандашом и с ноутбуком.,"Stalas su brėžinių popieriumi, pieštuku nupieštomis schemomis ir nešiojamuoju kompiuteriu.",train
img_000130.jpg,"Внутреннее убранство католического костела с лавочками и алтарем.

",Katalikų bažnyčios vidus su suolais ir altoriumi.,train
img_000131.jpg,Женщина выбирает фрукты на рынке.,Moteris turguje renkasi vaisius.,train
img_000132.jpg,Желтая гоночная ретро машина на выставке в здании.,Geltonas retro lenktyninis automobilis parodoje pastato viduje.,train
img_000133.jpg,"Широкая река с холмистыми зелеными берегами.

",Plati upė su kalvotais žaliais krantais.,train
img_000134.jpg,Зеленая долина с лесами и рекой.,Žalias slėnis su miškais ir upe.,train
img_000135.jpg,Грудной ребенок сладко спит.,Saldžiai miegantis kūdikis.,train
img_000136.jpg,Два артиста на сцене на выступлении театра теней.,Du artistai šešėlių teatro pasirodyme scenoje.,train
img_000137.jpg,Электрический столб на фоне вечернего неба.,Elektros stulpas vakarinio dangaus fone.,train
img_000138.jpg,Скрытый вход в старинное здание в окружении деревьев.,Medžių apsuptas paslėptas įėjimas į senovinį pastatą.,train
img_000139.jpg,"Теплоход в окружении небольших прибрежных островов в море.

",Keleivinis laivas jūroje tarp nedidelių pakrantės salų.,train
img_000140.jpg,Жилой многоэтажный дом в стиле конструктивизма.,Konstruktyvizmo stiliaus daugiaaukštis gyvenamasis namas.,train
img_000141.jpg,Живописные зеленые залесенные холмы с маленьким домиком.,Vaizdingos žaliuojančios miško kalvos su mažu nameliu.,train
img_000142.jpg,Парусный катамаран в море.,Burinis katamaranas jūroje.,train
img_000143.jpg,Молодые люди в компьютерном клубе.,Jaunimas kompiuterių klube.,train
img_000144.jpg,Птица сидит на макушке дерева в лесу.,Ant medžio viršūnės miške tupintis paukštis.,train
img_000145.jpg,Бурный водопад в хвойном лесу.,Sraunus krioklys spygliuočių miške.,train
img_000146.jpg,Обложка американского фильма 20-го века.,XX a. amerikietiško filmo viršelis.,train
img_000147.jpg,Коллаж картин художника.,Dailininko paveikslų koliažas.,train
img_000148.jpg,Военные обсуждают действия на карте.,Kariai prie žemėlapio aptaria veiksmus.,train
img_000149.jpg,Железнодорожная станция со старым музейным составом на одном из путей..,Geležinkelio stotis su muziejiniu traukiniu viename iš kelyje.,train
img_000150.jpg,Пешеходы и люди с велосипедами на оживленной городской улице.,Pėstieji ir žmonės su dviračiais judrioje miesto gatvėje.,train
img_000151.jpg,"Два котенка любопытно изучают природу загородного дома.

",Du kačiukai smalsiai tyrinėja sodybos gamtą.,train
img_000152.jpg,Городская улица с красивым газоном между двух офисных зданий и временными палатками.,Miesto gatvė su gražia veja tarp dviejų biurų pastatų ir laikinomis palapinėmis.,train
img_000153.jpg,Мост через реку в черте города.,Tiltas per upę miesto ribose.,train
img_000154.jpg,Команды сидящие за круглыми столами за ноутбуками разрабатывают новые идеи.,Prie apvalių stalų su nešiojamaisiais kompiuteriais sėdinčios komandos kuria naujas idėjas.,train
img_000155.jpg,Женщина в театральном плаще стоит на улице и держит что-то в руках.,Gatvėje stovinti moteris su teatrališku apsiaustu kažką laiko rankose.,train
img_000156.jpg,Черно-белое изображение убранства дворца 18-19 веков.,Nespalvota XVIII–XIX a. rūmų interjero nuotrauka.,train
img_000157.jpg,Безлюдная улица в солнечной Греции с пустыми столиками на улице.,Tuščia saulėtos Graikijos gatvė su tuščiais staliukais lauke.,train
img_000158.jpg,Дорога в заросшей сельской инфраструктуре.,Kelias tarp apaugusios kaimo infrastruktūros.,train
img_000159.jpg,Люди сидят в актовом зале в защитных медицинских масках на мероприятии.,Renginio dalyviai akto salėje dėvintys apsaugines medicinines kaukes.,train
img_000160.jpg,Установка металлоконструкции вдоль дороги ночью с помощью автокрана.,Metalinių konstrukcijų montavimas palei kelią naktį naudojant savaeigį kraną.,train
img_000161.jpg,Флаг африканской страны с изображением женщины и детей.,"Afrikos šalies vėliava, vaizduojanti moterį ir vaikus.",train
img_000162.jpg,Мужчина в пиджаке и женщина с детьми за столом во время праздничного события.,Šventinio renginio metu prie stalo sėdintis vyras su švarku ir moteris su vaikais.,train
img_000163.jpg,Въезд на зеленое поле со стороны дороги в солнечный день.,Įvažiavimas į žaliuojantį lauką iš kelio pusės saulėtą dieną.,train
img_000164.jpg,Птица на столбике в лесной местности.,Ant stulpelio miško vietovėje tupintis paukštis.,train
img_000165.jpg,Спортивная машина на асфальтовой дороге.,Sportinis automobilis ant asfalto dangos.,train
img_000166.jpg,"Коллаж фотографий с различных мероприятий.

",Įvairių renginių nuotraukų koliažas.,train
img_000167.jpg,"Крупная гусеничная спецтехника работает в лесной местности.

",Didelė vikšrinė specialioji technika dirba miško vietovėje.,train
img_000168.jpg,Собака сладко спит днем на покрывале в доме.,Namie ant užtiesalo dieną saldžiai miegantis šuo.,train
img_000169.jpg,Ночное небо со множеством звезд и одиноким деревом.,Naktinis dangus su daugybe žvaigždžių ir vienišu medžiu.,train
img_000170.jpg,Две лыжницы на туристическом горнолыжном склоне.,Dvi slidininkės turistinėje kalnų slidinėjimo trasoje.,train
img_000171.jpg,Надвигающаяся грозовая туча над склонами гор.,Artėjantis audros debesis virš kalnų šlaitų.,train
img_000172.jpg,Люди в кафе сделанном на основе вагончика.,"Žmonės kavinėje, įrengtoje vagone.",train
img_000173.jpg,Рыночная улочка в восточноазиатском городе с заполненными товарами прилавками.,Rytų Azijos miesto turgavietės gatvelė su prekėmis užpildytais prekystaliais.,train
img_000174.jpg,"Стол с книгами лежащими на продажу.

",Pardavimui skirtų knygų stalas.,train
img_000175.jpg,Многоярусные трибуны полные людей на матче по бейсболу.,"Daugiaaukštės tribūnos, pilnos žmonių beisbolo varžybose.",train
img_000176.jpg,Люди на мероприятии на открытом воздухе на газоне с собаками и велосипедами.,"Žmonės renginyje po atviru dangumi: veja, šunys ir dviračiai.",train
img_000177.jpg,Осенний пейзаж с сухой травой и речкой.,Rudens peizažas su sausa žole ir upeliu.,train
img_000178.jpg,Палуба парусной яхты в солнечном свете.,Burinės jachtos denis saulės šviesoje.,train
img_000179.jpg,Много велосипедистов ночью на улице.,Daug dviratininkų naktinėje gatvėje.,train
img_000180.jpg,Веселая компания людей празднует за круглым столом.,Linksma žmonių kompanija švenčia prie apvalaus stalo.,train
img_000181.jpg,Живое выступление рок музыкантов на сцене в красных тонах.,Gyvas roko muzikantų pasirodymas raudonų tonų apšviestoje scenoje.,train
img_000182.jpg,Довольный человек обнимает любя белую собаку-пуделя.,Laimingas žmogus meiliai apkabinęs baltą pudelį.,train
img_000183.jpg,"Семья с детьми на улице в парке.

",Šeima su vaikais parke.,train
img_000184.jpg,"Открытка с черным ретро автомобилем.


",Atvirukas su juodu retro automobiliu.,train
img_000185.jpg,"Компания людей за столом что-то активно обсуждают за трапезой.

",Prie stalo vakarieniaujanti žmonių kompanija aktyviai kažką aptaria.,train
img_000186.jpg,"Улица большого города с многоэтажными домами и машинами.

",Didmiesčio gatvė su daugiaaukščiais pastatais ir automobiliais.,train
img_000187.jpg,Фото скального выступа заросшего лесом и лесистой местностью с частными домами и огородами.,Mišku apaugusi uolėta atbraila ir miškinga vietovė su privačiais namais bei daržais.,train
img_000188.jpg,"Своды дворца с богатым убранством в стиле барокко, и евангелическими фресками на потолке.",Prabangus baroko stiliaus rūmų skliautas su evangeliškomis freskomis ant lubų.,train
img_000189.jpg,"Велосипедист-горожанин на фоне фасада здания со множеством одинаковых окон.

",Miesto dviratininkas pastato fasado su daugybe vienodų langų fone.,train
img_000190.jpg,"Компания молодых людей на прогулке в сельской гористой местности.

",Jaunų žmonių kompanija pasivaikščiojimo metu kalnuotoje kaimo vietovėje.,train
img_000191.jpg,"Лодка перевозящая людей недалеко от пристани.

",Netoli prieplaukos žmones plukdanti valtis.,train
img_000192.jpg,"Здание христианского храма на фоне зеленого городка вечером.

",Krikščionių šventyklos pastatas žalio miestelio fone vakare.,train
img_000193.jpg,"Компания людей в гостях поздравляют именинника.

",Svečiuose esanti žmonių kompanija sveikina jubiliatą.,train
img_000194.jpg,"Одиноко стоящее дерево на фоне голубого неба.

",Vienišas medis žydro dangaus fone.,train
img_000195.jpg,Величественный шпиль готического собора.,Didinga gotikinės katedros smailė.,train
img_000196.jpg,"Музыкант за электронным синтезатором и гитарист выступают перед публикой в баре.

",Muzikantas prie elektroninio sintezatoriaus ir gitaristas koncertuoja publikai bare.,train
img_000197.jpg,"Игроки школьных баскетбольных команд застыли в ожидании куда отскочит мяч.

","Mokyklų krepšinio komandų žaidėjai, sustingę belaukiant atšokančio kamuolio.",train
img_000198.jpg,"Фасадная часть жилого малоэтажного многоквартирного здания с кирпичной отделкой.

",Mažaaukščio daugiabučio gyvenamojo namo fasado dalis su plytų apdaila.,train
img_000199.jpg,"Сноубордист во время прыжка на фоне голубого неба.

",Snieglentininkas šuolio metu žydro dangaus fone.,train
img_000200.jpg,"Важная встреча за круглым столом официальных делегаций.

",Svarbus oficialių delegacijų susitikimas prie apvalaus stalo.,train
img_000201.jpg,,,train
img_000202.jpg,,,train
img_000203.jpg,,,train
img_000204.jpg,,,train
img_000205.jpg,,,train
img_000206.jpg,,,train
img_000207.jpg,,,train
img_000208.jpg,,,train
img_000209.jpg,,,train
img_000210.jpg,,,train
img_000211.jpg,,,train
img_000212.jpg,,,train
img_000213.jpg,,,train
img_000214.jpg,,,train
img_000215.jpg,,,train
img_000216.jpg,,,train
img_000217.jpg,,,train
img_000218.jpg,,,train
img_000219.jpg,,,train
img_000220.jpg,,,train
img_000221.jpg,,,train
img_000222.jpg,,,train
img_000223.jpg,,,train
img_000224.jpg,,,train
img_000225.jpg,,,train
img_000226.jpg,,,train
img_000227.jpg,,,train
img_000228.jpg,,,train
img_000229.jpg,,,train
img_000230.jpg,,,train
img_000231.jpg,,,train
img_000232.jpg,,,train
img_000233.jpg,,,train
img_000234.jpg,,,train
img_000235.jpg,,,train
img_000236.jpg,,,train
img_000237.jpg,,,train
img_000238.jpg,,,train
img_000239.jpg,,,train
img_000240.jpg,,,train
img_000241.jpg,,,train
img_000242.jpg,,,train
img_000243.jpg,,,train
img_000244.jpg,,,train
img_000245.jpg,,,train
img_000246.jpg,,,train
img_000247.jpg,,,train
img_000248.jpg,,,train
img_000249.jpg,,,train
img_000250.jpg,,,train
img_000251.jpg,,,train
img_000252.jpg,,,train
img_000253.jpg,,,train
img_000254.jpg,,,train
img_000255.jpg,,,train
img_000256.jpg,,,train
img_000257.jpg,,,train
img_000258.jpg,,,train
img_000259.jpg,,,train
img_000260.jpg,,,train
img_000261.jpg,,,train
img_000262.jpg,,,train
img_000263.jpg,,,train
img_000264.jpg,,,train
img_000265.jpg,,,train
img_000266.jpg,,,train
img_000267.jpg,,,train
img_000268.jpg,,,train
img_000269.jpg,,,train
img_000270.jpg,,,train
img_000271.jpg,,,train
img_000272.jpg,,,train
img_000273.jpg,,,train
img_000274.jpg,,,train
img_000275.jpg,,,train
img_000276.jpg,,,train
img_000277.jpg,,,train
img_000278.jpg,,,train
img_000279.jpg,,,train
img_000280.jpg,,,train
img_000281.jpg,,,train
img_000282.jpg,,,train
img_000283.jpg,,,train
img_000284.jpg,,,train
img_000285.jpg,,,train
img_000286.jpg,,,train
img_000287.jpg,,,train
img_000288.jpg,,,train
img_000289.jpg,,,train
img_000290.jpg,,,train
img_000291.jpg,,,train
img_000292.jpg,,,train
img_000293.jpg,,,train
img_000294.jpg,,,train
